Year,UK average house price
Jan-05,150633
Feb-05,150488
Mar-05,151723
Apr-05,153880
May-05,155533
Jun-05,156767
Jul-05,158786
Aug-05,159431
Sep-05,159183
Oct-05,158865
Nov-05,159337
Dec-05,160209
Jan-06,159970
Feb-06,160231
Mar-06,161531
Apr-06,165042
May-06,166606
Jun-06,168184
Jul-06,170604
Aug-06,172037
Sep-06,172738
Oct-06,173750
Nov-06,174644
Dec-06,176819
Jan-07,176758
Feb-07,177261
Mar-07,178636
Apr-07,182243
May-07,184330
Jun-07,186348
Jul-07,188691
Aug-07,189786
Sep-07,190032
Oct-07,189589
Nov-07,189489
Dec-07,189193
Jan-08,185782
Feb-08,184185
Mar-08,182845
Apr-08,183148
May-08,184267
Jun-08,181831
Jul-08,179845
Aug-08,176092
Sep-08,171660
Oct-08,168177
Nov-08,163447
Dec-08,160954
Jan-09,157234
Feb-09,155417
Mar-09,154452
Apr-09,155852
May-09,158004
Jun-09,159561
Jul-09,162423
Aug-09,164025
Sep-09,165314
Oct-09,166425
Nov-09,166986
Dec-09,168082
Jan-10,167469
Feb-10,167888
Mar-10,167878
Apr-10,170028
May-10,170846
Jun-10,171689
Jul-10,173427
Aug-10,173417
Sep-10,172972
Oct-10,171045
Nov-10,169013
Dec-10,168703
Jan-11,167300
Feb-11,166415
Mar-11,165649
Apr-11,168218
May-11,167470
Jun-11,167753
Jul-11,169866
Aug-11,169968
Sep-11,169544
Oct-11,167673
Nov-11,167757
Dec-11,167048
Jan-12,165908
Feb-12,165457
Mar-12,165947
Apr-12,167854
May-12,168395
Jun-12,170049
Jul-12,170701
Aug-12,170902
Sep-12,170295
Oct-12,169090
Nov-12,169227
Dec-12,168843
Jan-13,167716
Feb-13,167682
Mar-13,168681
Apr-13,170335
May-13,171234
Jun-13,172655
Jul-13,174592
Aug-13,175982
Sep-13,176098
Oct-13,175378
Nov-13,176352
Dec-13,177971
Jan-14,178182
Feb-14,178921
Mar-14,179537
Apr-14,183532
May-14,185476
Jun-14,187077
Jul-14,189709
Aug-14,191932
Sep-14,192138
Oct-14,191855
Nov-14,191209
Dec-14,191669
Jan-15,190665
Feb-15,190827
Mar-15,191537
Apr-15,193225
May-15,195313
Jun-15,196802
Jul-15,200141
Aug-15,201973
Sep-15,202389
Oct-15,202663
Nov-15,204222
Dec-15,204919
Jan-16,205457
Feb-16,205584
Mar-16,207333
Apr-16,208705
May-16,211864