earnings,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
25000,123,152,147,131,123,109,89,55,22,4,0,0,0,0,0,0,0,0,0,0,0
50000,3196,2958,2432,2077,1759,1418,1143,758,367,103,30,5,1,0,7,9,11,16,24,19,15
75000,2628,2653,2731,2595,2342,1918,1584,1173,785,401,248,147,59,78,203,223,266,274,253,191,180
100000,826,940,1128,1286,1416,1474,1446,1275,1100,962,767,593,469,555,752,670,771,720,700,547,467
125000,256,283,380,536,695,854,988,992,977,906,1022,1075,1024,1086,1022,1068,1014,1039,1000,954,786
150000,106,129,220,287,401,611,794,1082,1152,1208,1231,1083,972,1041,1195,889,974,924,877,825,852
175000,31,46,89,150,207,314,451,669,914,1053,1075,1129,1054,1041,1228,967,933,936,898,866,756
200000,9,13,30,65,119,208,272,460,712,912,923,933,867,816,714,779,748,714,700,666,704
225000,9,8,13,32,56,100,157,245,403,547,600,640,705,650,555,594,578,564,578,561,509
250000,5,8,10,16,47,107,143,245,391,549,652,719,821,785,636,769,699,715,726,749,534
275000,3,3,7,4,7,26,41,46,94,115,158,202,240,244,168,214,199,223,242,252,403
300000,0,2,5,4,10,24,31,87,102,170,161,213,300,262,198,270,250,233,259,296,371
325000,1,1,1,6,3,10,21,44,69,93,103,141,177,154,134,167,171,189,196,230,274
350000,0,1,0,6,3,5,9,22,38,59,81,91,147,125,86,131,134,151,141,191,227
375000,0,0,1,1,6,4,10,17,29,42,47,71,83,90,64,103,102,112,126,165,193
400000,0,0,0,0,3,4,3,8,11,29,36,54,92,74,65,91,78,80,91,131,164
425000,0,0,0,0,1,3,5,6,11,14,15,32,37,43,30,50,54,57,55,81,117
450000,0,0,1,0,2,4,6,5,5,8,20,15,36,28,36,46,45,65,64,81,128
475000,0,0,0,0,0,3,2,3,5,3,6,18,35,29,21,27,32,31,54,52,63
500000,0,0,0,1,1,2,2,3,6,6,9,8,24,27,23,45,32,42,51,70,73
525000,0,0,0,0,0,0,2,1,3,1,2,3,8,12,9,6,14,5,9,30,52
550000,0,0,0,0,0,1,1,2,2,4,3,5,11,9,9,13,15,12,22,30,45
575000,0,0,0,0,0,1,0,1,0,4,1,6,4,8,2,11,14,12,19,27,37
600000,0,0,0,0,0,0,0,0,0,0,5,3,5,10,9,5,6,16,11,33,48
625000,0,0,0,0,0,0,0,0,1,1,0,5,3,1,6,5,7,9,17,17,22
650000,0,0,0,0,0,0,0,0,1,2,2,3,4,3,7,6,10,9,14,16,26
675000,0,0,0,0,0,0,0,0,0,2,1,1,3,7,2,8,6,5,9,8,18
700000,0,0,0,0,0,0,0,1,0,1,1,3,4,1,3,8,3,4,7,10,18
725000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,6,6,2,11,17
750000,0,0,0,0,0,0,1,1,1,0,1,0,3,2,2,1,5,4,5,14,8
775000,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,3,4,6,7
800000,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,5,2,4,6,9,7
825000,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,4,4,4,11
850000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,2,6,8
875000,0,0,0,0,0,0,0,0,0,1,1,2,5,11,8,12,15,22,35,52,61